query,狙い,database,hits,retrieved,search_date,blocks,search_string
S1,遺伝子セット/経路スコアの反復測定信頼性,PubMed,48,48,2026-08-20,SET AND SCORE AND RETEST,"(""gene set""[tiab] OR ""gene signature""[tiab] OR ""gene signatures""[tiab] OR ""gene-set""[tiab] OR ""pathway""[tiab] OR ""gene expression signature""[tiab] OR ""gene expression signatures""[tiab] OR ""expression signature""[tiab] OR ""expression signatures""[tiab] OR ""transcriptional signature""[tiab] OR ""transcriptomic signature""[tiab]) AND (""score""[tiab] OR ""scoring""[tiab] OR ""enrichment""[tiab]) AND (""test-retest""[tiab] OR ""test retest""[tiab] OR ""intraclass correlation""[tiab] OR ""repeat measurement""[tiab] OR ""repeated measurement""[tiab] OR ""repeated sampling""[tiab] OR ""longitudinal stability""[tiab] OR ""within-person stability""[tiab])"
S1,遺伝子セット/経路スコアの反復測定信頼性,Europe PMC,49,49,2026-08-20,SET AND SCORE AND RETEST,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""score"" OR TITLE_ABS:""scoring"" OR TITLE_ABS:""enrichment"") AND (TITLE_ABS:""test-retest"" OR TITLE_ABS:""test retest"" OR TITLE_ABS:""intraclass correlation"" OR TITLE_ABS:""repeat measurement"" OR TITLE_ABS:""repeated measurement"" OR TITLE_ABS:""repeated sampling"" OR TITLE_ABS:""longitudinal stability"" OR TITLE_ABS:""within-person stability"")"
S1,遺伝子セット/経路スコアの反復測定信頼性,Europe PMC (preprint),3,3,2026-08-20,SET AND SCORE AND RETEST,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""score"" OR TITLE_ABS:""scoring"" OR TITLE_ABS:""enrichment"") AND (TITLE_ABS:""test-retest"" OR TITLE_ABS:""test retest"" OR TITLE_ABS:""intraclass correlation"" OR TITLE_ABS:""repeat measurement"" OR TITLE_ABS:""repeated measurement"" OR TITLE_ABS:""repeated sampling"" OR TITLE_ABS:""longitudinal stability"" OR TITLE_ABS:""within-person stability"")"
S2,遺伝子セットスコアをサイズをそろえたランダム対照と比べる,PubMed,24,24,2026-08-20,SET AND SCORE AND CONTROL,"(""gene set""[tiab] OR ""gene signature""[tiab] OR ""gene signatures""[tiab] OR ""gene-set""[tiab] OR ""pathway""[tiab] OR ""gene expression signature""[tiab] OR ""gene expression signatures""[tiab] OR ""expression signature""[tiab] OR ""expression signatures""[tiab] OR ""transcriptional signature""[tiab] OR ""transcriptomic signature""[tiab]) AND (""score""[tiab] OR ""scoring""[tiab] OR ""enrichment""[tiab]) AND (""random gene set""[tiab] OR ""random gene sets""[tiab] OR ""size-matched""[tiab] OR ""matched random""[tiab] OR ""background gene set""[tiab] OR ""null gene set""[tiab] OR ""permuted gene set""[tiab] OR ""random signature""[tiab] OR ""random signatures""[tiab] OR ""random gene expression signature""[tiab] OR ""random gene expression signatures""[tiab] OR ""randomly selected genes""[tiab] OR ""random gene lists""[tiab])"
S2,遺伝子セットスコアをサイズをそろえたランダム対照と比べる,Europe PMC,36,36,2026-08-20,SET AND SCORE AND CONTROL,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""score"" OR TITLE_ABS:""scoring"" OR TITLE_ABS:""enrichment"") AND (TITLE_ABS:""random gene set"" OR TITLE_ABS:""random gene sets"" OR TITLE_ABS:""size-matched"" OR TITLE_ABS:""matched random"" OR TITLE_ABS:""background gene set"" OR TITLE_ABS:""null gene set"" OR TITLE_ABS:""permuted gene set"" OR TITLE_ABS:""random signature"" OR TITLE_ABS:""random signatures"" OR TITLE_ABS:""random gene expression signature"" OR TITLE_ABS:""random gene expression signatures"" OR TITLE_ABS:""randomly selected genes"" OR TITLE_ABS:""random gene lists"")"
S2,遺伝子セットスコアをサイズをそろえたランダム対照と比べる,Europe PMC (preprint),11,11,2026-08-20,SET AND SCORE AND CONTROL,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""score"" OR TITLE_ABS:""scoring"" OR TITLE_ABS:""enrichment"") AND (TITLE_ABS:""random gene set"" OR TITLE_ABS:""random gene sets"" OR TITLE_ABS:""size-matched"" OR TITLE_ABS:""matched random"" OR TITLE_ABS:""background gene set"" OR TITLE_ABS:""null gene set"" OR TITLE_ABS:""permuted gene set"" OR TITLE_ABS:""random signature"" OR TITLE_ABS:""random signatures"" OR TITLE_ABS:""random gene expression signature"" OR TITLE_ABS:""random gene expression signatures"" OR TITLE_ABS:""randomly selected genes"" OR TITLE_ABS:""random gene lists"")"
S3,遺伝子セットの内部整合性・個人間の遺伝子間相関,PubMed,159,159,2026-08-20,SET AND CONSISTENCY,"(""gene set""[tiab] OR ""gene signature""[tiab] OR ""gene signatures""[tiab] OR ""gene-set""[tiab] OR ""pathway""[tiab] OR ""gene expression signature""[tiab] OR ""gene expression signatures""[tiab] OR ""expression signature""[tiab] OR ""expression signatures""[tiab] OR ""transcriptional signature""[tiab] OR ""transcriptomic signature""[tiab]) AND (""internal consistency""[tiab] OR ""Cronbach""[tiab] OR ""inter-gene correlation""[tiab] OR ""intergene correlation""[tiab] OR ""co-expression across individuals""[tiab] OR ""coexpression across individuals""[tiab] OR ""split-half""[tiab])"
S3,遺伝子セットの内部整合性・個人間の遺伝子間相関,Europe PMC,124,124,2026-08-20,SET AND CONSISTENCY,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""internal consistency"" OR TITLE_ABS:""Cronbach"" OR TITLE_ABS:""inter-gene correlation"" OR TITLE_ABS:""intergene correlation"" OR TITLE_ABS:""co-expression across individuals"" OR TITLE_ABS:""coexpression across individuals"" OR TITLE_ABS:""split-half"")"
S3,遺伝子セットの内部整合性・個人間の遺伝子間相関,Europe PMC (preprint),20,20,2026-08-20,SET AND CONSISTENCY,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""internal consistency"" OR TITLE_ABS:""Cronbach"" OR TITLE_ABS:""inter-gene correlation"" OR TITLE_ABS:""intergene correlation"" OR TITLE_ABS:""co-expression across individuals"" OR TITLE_ABS:""coexpression across individuals"" OR TITLE_ABS:""split-half"")"
S4,単一サンプルスコアを個人の層別化に使う妥当性,PubMed,276,275,2026-08-20,PERSON AND SET AND SCORE AND VALIDITY,"(""single-sample""[tiab] OR ""single sample""[tiab] OR ""per-patient""[tiab] OR ""patient-level""[tiab] OR ""individual-level""[tiab] OR ""per-sample""[tiab]) AND (""gene set""[tiab] OR ""gene signature""[tiab] OR ""gene signatures""[tiab] OR ""gene-set""[tiab] OR ""pathway""[tiab] OR ""gene expression signature""[tiab] OR ""gene expression signatures""[tiab] OR ""expression signature""[tiab] OR ""expression signatures""[tiab] OR ""transcriptional signature""[tiab] OR ""transcriptomic signature""[tiab]) AND (""score""[tiab] OR ""scoring""[tiab] OR ""enrichment""[tiab]) AND (""stratification""[tiab] OR ""stratify""[tiab] OR ""measurement validity""[tiab] OR ""construct validity""[tiab] OR ""measurement property""[tiab] OR ""measurement properties""[tiab] OR ""reliability""[tiab])"
